pk_dt_abertura,data,ano,mes,nu_mes
11421,13/12/2000,2000,DEZ,12
11066,05/04/1974,1974,ABR,4
3860,12/07/1982,1982,JUL,7
13602,15/01/1988,1988,JAN,1
1388,09/07/2004,2004,JUL,7
3865,07/04/2003,2003,ABR,4
1330,29/05/2012,2012,MAI,5
3868,20/03/1979,1979,MAR,3
2232,08/02/2011,2011,FEV,2
13615,09/05/2007,2007,MAI,5
13631,04/12/1987,1987,DEZ,12
3875,06/04/1999,1999,ABR,4
13639,08/08/2005,2005,AGO,8
3879,13/01/1999,1999,JAN,1
3881,31/03/1998,1998,MAR,3
3883,27/08/2009,2009,AGO,8
3885,27/05/1977,1977,MAI,5
13657,10/09/2001,2001,SET,9
3889,03/05/2004,2004,MAI,5
3891,18/05/2001,2001,MAI,5
13672,27/09/2001,2001,SET,9
811,19/07/2006,2006,JUL,7
13678,29/10/1979,1979,OUT,10
9042,18/02/2010,2010,FEV,2
3899,28/11/1983,1983,NOV,11
3901,11/01/2007,2007,JAN,1
3743,06/01/2010,2010,JAN,1
12967,09/06/1999,1999,JUN,6
11800,22/08/1991,1991,AGO,8
3906,22/07/2005,2005,JUL,7
3908,22/02/2012,2012,FEV,2
13699,13/08/1984,1984,AGO,8
3912,28/04/2008,2008,ABR,4
3914,20/10/2004,2004,OUT,10
14706,28/05/2011,2011,MAI,5
3917,02/08/1999,1999,AGO,8
3919,17/02/1997,1997,FEV,2
9081,12/09/1994,1994,SET,9
13715,10/07/2003,2003,JUL,7
11907,08/07/1986,1986,JUL,7
3925,03/08/1993,1993,AGO,8
13730,14/11/2011,2011,NOV,11
3929,08/02/2006,2006,FEV,2
400,10/04/1974,1974,ABR,4
11855,05/07/2004,2004,JUL,7
3933,23/03/1981,1981,MAR,3
3935,29/01/1996,1996,JAN,1
3937,25/11/2003,2003,NOV,11
2364,01/12/1994,1994,DEZ,12
3940,16/12/2008,2008,DEZ,12
13760,18/07/2005,2005,JUL,7
3944,17/02/1981,1981,FEV,2
11008,20/07/1976,1976,JUL,7
13256,28/05/1987,1987,MAI,5
3948,29/03/1974,1974,MAR,3
1582,04/12/1989,1989,DEZ,12
13778,03/07/1991,1991,JUL,7
614,15/10/2010,2010,OUT,10
13784,08/04/1999,1999,ABR,4
11687,31/07/2002,2002,JUL,7
3957,14/08/1997,1997,AGO,8
1907,05/01/2011,2011,JAN,1
3960,18/02/1986,1986,FEV,2
3962,25/04/1988,1988,ABR,4
3964,05/07/1991,1991,JUL,7
3966,13/11/2000,2000,NOV,11
12926,12/02/2007,2007,FEV,2
3969,16/01/1987,1987,JAN,1
13795,11/03/1992,1992,MAR,3
3973,10/03/2005,2005,MAR,3
3975,01/11/2000,2000,NOV,11
13087,26/10/1993,1993,OUT,10
13804,29/03/1977,1977,MAR,3
765,04/04/2012,2012,ABR,4
13811,09/10/1987,1987,OUT,10
8901,19/11/1992,1992,NOV,11
3984,03/12/1979,1979,DEZ,12
3986,09/02/1998,1998,FEV,2
3988,16/12/1988,1988,DEZ,12
13824,27/07/1976,1976,JUL,7
3992,26/09/1979,1979,SET,9
3994,03/12/1981,1981,DEZ,12
3996,10/04/1995,1995,ABR,4
3998,19/08/1994,1994,AGO,8
4000,13/06/1995,1995,JUN,6
4002,15/04/1998,1998,ABR,4
13844,15/06/1990,1990,JUN,6
4006,01/09/1998,1998,SET,9
13852,27/10/2004,2004,OUT,10
4010,10/11/1966,1966,NOV,11
4012,22/06/1987,1987,JUN,6
2555,25/08/1986,1986,AGO,8
