pk_cnae,nu_ordem,cd_ramo_atividade,cnae_dig2,de_ramo_atividade,ramo_atividade,divisao
21614,2,9499500,94,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21615,0,2391503,23,"APARELHAMENTO DE PLACAS E EXECUCAO DE TRABALHOS EM MARMORE, GRANITO, ARDOSIA E OUTRAS PEDRAS",SIDERÚRGICA-METALURGIA,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
21616,0,4330499,43,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO,INDÚSTRIA DIGITAL,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
21616,1,9529199,95,REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE,SERVIÇOS DE EDUCAÇÃO,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
21617,0,4789099,47,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21618,0,4772500,47,"COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21619,0,5510802,55,APARTHOTEIS,SERVIÇOS DE ALOJAMENTO/ALIMENTAÇÃO,ALOJAMENTO
21620,0,3329501,33,SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL,SERVIÇOS DIVERSOS,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO"
21621,0,1412602,14,"CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS",DIVERSOS,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
21622,0,4711301,47,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21623,0,8292000,82,ENVASAMENTO E EMPACOTAMENTO SOB CONTRATO,SERVIÇOS PROFISSIONAIS E TÉCNICOS,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS"
21624,0,4520001,45,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
21624,1,4530703,45,SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
21625,0,8112500,81,CONDOMINIOS PREDIAIS,SERVIÇOS PROFISSIONAIS E TÉCNICOS,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
21626,0,9491000,94,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21627,0,4789099,47,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21628,0,4789002,47,ATIVIDADES PAISAGISTICAS,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21628,1,8130300,81,COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS,SERVIÇOS PROFISSIONAIS E TÉCNICOS,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
21629,0,4755503,47,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21629,1,4781400,47,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21630,0,6920601,69,ATIVIDADES DE CONTABILIDADE,SERVIÇOS PROFISSIONAIS E TÉCNICOS,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA"
