pk_endereco,nm_logradouro,nu_logradouro,nm_bairro,nm_municipio,cd_cep,sg_uf,vl_latitude,vl_longitude
2702,RUA DA COLINA,60,JARDIM GUANABARA,RIO DE JANEIRO,21931380,RJ,"-22,805604","-43,206184"
2704,RUA DA MATRIZ,1068,CENTRO,BENJAMIN CONSTANT DO SUL,99650000,RS,"-27,5071194","-52,6023876"
2706,RUA ARACAJU,20,BELO HORIZONTE,MARABA,68503190,PA,"-5,3685414","-49,1161242"
2708,RUA DOUTOR ELTON CESAR,201,CHACARAS CAMPOS DOS AMARAIS,CAMPINAS,13082025,SP,"-22,856807","-47,1064593"
2710,RODOVIA TANCREDO ALMEIDA NEVES,-,CASTANHO,JUNDIAI,13203715,SP,"-23,1864533","-46,8844527"
2712,RUA ANTONIO DE OLIVEIRA,900,JARDIM DAS OLIVEIRAS,SAO JOSE DO RIO PRETO,15047000,SP,"-20,7716223","-49,4099313"
2714,RUA COMETA,102,JARDIM NOVO EMBU,EMBU DAS ARTES,06840060,SP,"-23,6511032","-46,8588477"
2715,RUA CAPITAO BERNADINO SOUTO,115,CENTRO,MARECHAL DEODORO,57160000,AL,"-9,7205156","-35,8956794"
2717,RUA SALLES GOMES,228,VILA PERUS,SAO PAULO,05211200,SP,"-23,4074903","-46,7522278"
2719,RUA ANCHIETA,328,PADRE EUSTAQUIO,BELO HORIZONTE,30720370,MG,"-19,9195419","-43,9808599"
2721,CONTORNO DA RUA ANGELO BIGGI VALE DOS PEOES,SN,LINHARES,JUIZ DE FORA,36060620,MG,"-21,7624237","-43,3433999"
2722,RUA PAU BRASIL,31,JOSE DE ANCHIETA,SERRA,29162450,ES,"-20,1722455","-40,2069837"
2723,RUA SERGIPE,1236,FUNCIONARIOS,BELO HORIZONTE,30130171,MG,"-19,9372179","-43,9382002"
2725,FAZENDA CACHOEIRA DOS TOMAZES,SN,ZONA RURAL,CARDOSO,15570000,SP,"-20,0810552","-49,9135463"
